Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost,0.9992069925633524,0.7551020408163265,0.7789473684210526,0.7668393782383419,0.9597455891055948
Tuned XGBoost,0.9994360836006062,0.8705882352941177,0.7789473684210526,0.8222222222222222,0.968960272917559
