Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.9994360836006062,0.9090909090909092,0.7368421052631579,0.813953488372093,0.9590776954743216
Random Forest (SMOTE),0.9783773305607444,0.0632716049382716,0.8631578947368421,0.117900790797987,0.9506200940383828
Random Forest (Random Undersampling),0.9856025094279772,0.09255079006772,0.8631578947368421,0.1671763506625892,0.972907246492606
Random Forest (Class Weights),0.9994889507630492,0.9583333333333334,0.7263157894736842,0.8263473053892215,0.9438932187753456
