Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Overall Score
Random Forest (Class Weights),0.9994889507630492,0.9583333333333334,0.7263157894736842,0.8263473053892215,0.9438932187753456,0.8637224117428962
Tuned XGBoost,0.9994360836006062,0.8705882352941177,0.7789473684210526,0.8222222222222222,0.968960272917559,0.8601795247137378
Random Forest,0.9994360836006062,0.8987341772151899,0.7473684210526316,0.8160919540229885,0.9545201506174928,0.8541786757270756
XGBoost,0.999365594050682,0.8105263157894737,0.8105263157894737,0.8105263157894737,0.967861207448375,0.849860038704199
Decision Tree,0.9976914672399816,0.3915662650602409,0.6842105263157895,0.4980842911877394,0.8412138402350866,0.6037687306997142
Random Forest (Random Undersampling),0.9856025094279772,0.09255079006772,0.8631578947368421,0.1671763506625892,0.972907246492606,0.5239480704899393
Logistic Regression,0.9783773305607444,0.0632716049382716,0.8631578947368421,0.117900790797987,0.9506200940383828,0.49873759612787083
Random Forest (SMOTE),0.9783773305607444,0.0632716049382716,0.8631578947368421,0.117900790797987,0.9506200940383828,0.49873759612787083
