,precision,recall,f1-score,support
0,0.9995412358400677,0.9999470441828034,0.9997440988307964,56651.0
1,0.9583333333333334,0.7263157894736842,0.8263473053892215,95.0
accuracy,0.9994889507630493,0.9994889507630493,0.9994889507630493,0.9994889507630493
macro avg,0.9789372845867006,0.8631314168282438,0.9130457021100089,56746.0
weighted avg,0.9994722485856684,0.9994889507630493,0.9994538106100064,56746.0
